Agency,Platform,Url,Date Sampled,Likes/Followers/Visits/Downloads
311,WordPress,http://311nyc.wordpress.com/,8/8/2011 0:00,100
311,WordPress,http://311nyc.wordpress.com/,9/22/2011 0:00,100
311,WordPress,http://311nyc.wordpress.com/,10/4/2011 0:00,
311,WordPress,http://311nyc.wordpress.com/,10/27/2011 0:00,
311,WordPress,http://311nyc.wordpress.com/,11/17/2011 0:00,
311,WordPress,http://311nyc.wordpress.com/,12/12/2012 0:00,
311,WordPress,http://311nyc.wordpress.com/,12/30/2011 0:00,
311,WordPress,http://311nyc.wordpress.com/,1/20/2012 0:00,
311,WordPress,http://311nyc.wordpress.com/,2/17/2012 0:00,
311,WordPress,http://311nyc.wordpress.com/,3/14/2012 0:00,
311,WordPress,http://311nyc.wordpress.com/,4/9/2012 0:00,
311,WordPress,http://311nyc.wordpress.com/,4/30/2012 0:00,
311,WordPress,http://311nyc.wordpress.com/,5/9/2012 0:00,
311,WordPress,http://311nyc.wordpress.com/,6/13/2012 0:00,
311,WordPress,http://311nyc.wordpress.com/,7/5/2012 0:00,
311,WordPress,http://311nyc.wordpress.com/,8/2/2012 0:00,
311,WordPress,http://311nyc.wordpress.com/,9/21/2012 0:00,
311,WordPress,http://311nyc.wordpress.com/,10/24/2012 0:00,
311,WordPress,http://311nyc.wordpress.com/,11/2/2012 0:00,
311,WordPress,http://311nyc.wordpress.com/,11/9/2012 0:00,
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,8/8/2011 0:00,16879
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,9/22/2011 0:00,
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,10/4/2011 0:00,
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,10/27/2011 0:00,
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,11/17/2011 0:00,16879
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,12/12/2012 0:00,16879
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,12/30/2011 0:00,16879
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,1/20/2012 0:00,16879
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,2/17/2012 0:00,16879
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,3/14/2012 0:00,16879
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,4/9/2012 0:00,16879
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,4/30/2012 0:00,24806
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,5/9/2012 0:00,24806
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,6/13/2012 0:00,25442
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,7/5/2012 0:00,25736
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,8/2/2012 0:00,25736
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,9/21/2012 0:00,26581
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,10/24/2012 0:00,26581
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,11/2/2012 0:00,26581
311,iPhone App,http://itunes.apple.com/us/app/nyc-311/id324897619?mt=8,11/9/2012 0:00,26581
311,Facebook,http://www.facebook.com/pages/New-York-City-311/84372567650,8/8/2011 0:00,1078
311,Facebook,http://www.facebook.com/pages/New-York-City-311/84372567650,9/22/2011 0:00,1228
311,Facebook,http://www.facebook.com/pages/New-York-City-311/84372567650,10/4/2011 0:00,1246
311,Facebook,http://www.facebook.com/pages/New-York-City-311/84372567650,10/27/2011 0:00,1272
311,Facebook,http://www.facebook.com/pages/New-York-City-311/84372567650,11/17/2011 0:00,1295
311,Facebook,http://www.facebook.com/pages/New-York-City-311/84372567650,12/12/2012 0:00,1323
311,Facebook,http://www.facebook.com/pages/New-York-City-311/84372567650,12/30/2011 0:00,1339
311,Facebook,http://www.facebook.com/pages/New-York-City-311/84372567650,1/20/2012 0:00,1363
311,Facebook,http://www.facebook.com/pages/New-York-City-311/84372567650,2/17/2012 0:00,
311,Facebook,http://www.facebook.com/pages/New-York-City-311/84372567650,3/14/2012 0:00,1423
311,Facebook,http://www.facebook.com/pages/New-York-City-311/84372567650,4/9/2012 0:00,1451
311,Facebook,http://www.facebook.com/pages/New-York-City-311/84372567650,4/30/2012 0:00,1484
311,Facebook,http://www.facebook.com/pages/New-York-City-311/84372567650,5/9/2012 0:00,1495
311,Facebook,http://www.facebook.com/pages/New-York-City-311/84372567650,6/13/2012 0:00,1540
311,Facebook,http://www.facebook.com/pages/New-York-City-311/84372567650,7/5/2012 0:00,1581
311,Facebook,http://www.facebook.com/pages/New-York-City-311/84372567650,8/2/2012 0:00,1619
311,Facebook,http://www.facebook.com/pages/New-York-City-311/84372567650,9/21/2012 0:00,1699
311,Facebook,http://www.facebook.com/pages/New-York-City-311/84372567650,10/24/2012 0:00,1760
311,Facebook,http://www.facebook.com/pages/New-York-City-311/84372567650,11/2/2012 0:00,1921
311,Facebook,http://www.facebook.com/pages/New-York-City-311/84372567650,11/9/2012 0:00,1987
311,Twitter,http://www.twitter.com/311NYC,8/8/2011 0:00,17956
